Date,Trend,Seasonal,Residual
1996-01-31,,-682.8587929991791,
1996-02-29,,-470.1875687477022,
1996-03-31,,-707.2611513436813,
1996-04-30,,-509.53747042679703,
1996-05-31,,-46.09445616994682,
1996-06-30,,-19.559311039500187,
1996-07-31,148797.83333333334,-31.284572155743287,-629.5487611775998
1996-08-31,150233.171875,-15.521843103379428,-241.15003189662056
1996-09-30,151726.5260416667,372.5250494970548,-537.8010911637409
1996-10-31,153308.52604166666,500.13837941444484,-710.2894210811019
1996-11-30,154964.77083333334,758.1191854970821,-840.7650188304251
1996-12-31,156609.1354166667,851.5225515773473,-251.90796824403333
1997-01-31,157921.925,-682.8587929991791,1745.6837929991907
1997-02-28,158597.5412878788,-470.1875687477022,1899.271280868912
1997-03-31,158876.61988636362,-707.2611513436813,3148.2662649800577
1997-04-30,159065.69611742426,-509.53747042679703,4679.716353002536
1997-05-31,159154.81164772727,-46.09445616994682,5853.0328084426765
1997-06-30,159084.62746212122,-19.559311039500187,6487.806848918279
1997-07-31,158859.33768939396,-31.284572155743287,1548.1468827617982
1997-08-31,158575.9963068182,-15.521843103379428,-4608.383554623921
1997-09-30,158263.72452651517,372.5250494970548,-4352.704121466786
1997-10-31,157851.68096590912,500.13837941444484,-3437.91025441448
1997-11-30,157288.4693181818,758.1191854970821,-2841.2248673152353
1997-12-31,156281.80817550505,851.5225515773473,-1932.2398179914871
1998-01-31,155153.13143939394,-682.8587929991791,1115.1818990597985
1998-02-28,154565.79292929295,-470.1875687477022,2530.1219121820195
1998-03-31,154285.53724747474,-707.2611513436813,3645.7239038689395
1998-04-30,153992.60511363635,-509.53747042679703,3957.3869022450026
1998-05-31,153683.93750000003,-46.09445616994682,3602.2478652608293
1998-06-30,153372.2692550505,-19.559311039500187,-4238.04327734433
1998-07-31,152781.55662393165,-31.284572155743287,-3024.105385109254
1998-08-31,151882.98815073815,-15.521843103379428,-1361.466307634771
1998-09-30,150969.62130924631,372.5250494970548,-338.6463587433697
1998-10-31,150099.6344211344,500.13837941444484,563.8105327845014
1998-11-30,149293.3713092463,758.1191854970821,1496.176171923289
1998-12-31,148889.49999999997,851.5225515773473,1637.7274484226818
1999-01-31,148846.17040598288,-682.8587929991791,-2932.619305291386
1999-02-28,148793.6955128205,-470.1875687477022,-2908.6617902266426
1999-03-31,148733.8766025641,-707.2611513436813,-1512.5385281434765
1999-04-30,148691.07505341878,-509.53747042679703,-910.8452752996736
1999-05-31,148669.31463675215,-46.09445616994682,-563.6817190437398
1999-06-30,148682.3998397436,-19.559311039500187,-60.53283639640546
1999-07-31,148815.07760500727,-31.284572155743287,414.8223517638444
1999-08-31,149038.75130881486,-15.521843103379428,750.924380442368
1999-09-30,149225.22765448375,372.5250494970548,701.9396037115059
1999-10-31,149362.31484366188,500.13837941444484,977.7006230775196
1999-11-30,149472.8310087424,758.1191854970821,1117.8959596066852
1999-12-31,149567.17736818062,851.5225515773473,1472.9154648574058
2000-01-31,149652.46741467068,-682.8587929991791,-1067.5153322669485
2000-02-29,149732.62946428815,-470.1875687477022,-1150.827832023815
2000-03-31,149813.81817478852,-707.2611513436813,-813.8157139844744
2000-04-30,149890.73161083844,-509.53747042679703,-599.0736788279819
2000-05-31,149950.20761271165,-46.09445616994682,-703.6148869621213
2000-06-30,149994.2539267885,-19.559311039500187,-249.03410496537805
2000-07-31,150215.66285226372,-31.284572155743287,-62.15459820706289
2000-08-31,150617.85302867854,-15.521843103379428,172.10355411290257
2000-09-30,151002.16305167018,372.5250494970548,-126.74763500093985
2000-10-31,151344.78070281819,500.13837941444484,-107.09092935421626
2000-11-30,151649.4797583354,758.1191854970821,-529.003051753738
2000-12-31,151931.71163930758,851.5225515773473,-364.25700665787554
2001-01-31,152279.90400271703,-682.8587929991791,1091.5004914797337
2001-02-28,152697.9337500396,-470.1875687477022,749.9797043883027
2001-03-31,153122.24766927233,-707.2611513436813,235.08352116708818
2001-04-30,153558.13044853692,-509.53747042679703,-400.9776186095468
2001-05-31,154005.24670583592,-46.09445616994682,-1311.3715455907043
2001-06-30,154455.88524200668,-19.559311039500187,-1384.382711345983
2001-07-31,154898.71680592548,-31.284572155743287,285.1254611202794
2001-08-31,155335.15350065965,-15.521843103379428,457.18300488420243
2001-09-30,155784.77497271576,372.5250494970548,271.794582786881
2001-10-31,156259.14044111353,500.13837941444484,258.58189586678515
2001-11-30,156748.40074682294,758.1191854970821,-177.1664285826846
2001-12-31,157233.33048969653,851.5225515773473,-301.30860060652594
2002-01-31,157640.18009039306,-682.8587929991791,994.6146814150579
2002-02-28,157967.4584614858,-470.1875687477022,691.5453889513465
2002-03-31,158270.31096297613,-707.2611513436813,666.8451608008571
2002-04-30,158540.8639395315,-509.53747042679703,421.2351986043587
2002-05-31,158795.47756733993,-46.09445616994682,-164.3013782771707
2002-06-30,159056.9594549639,-19.559311039500187,-284.4441241559817
2002-07-31,159326.1236033012,-31.284572155743287,-78.90371968611268
2002-08-31,159595.66490810542,-15.521843103379428,-12.02511290433868
2002-09-30,159861.78744993923,372.5250494970548,-328.0611483259433
2002-10-31,160141.16149341952,500.13837941444484,-607.3244652208186
2002-11-30,160459.13887439625,758.1191854970821,-793.292179972108
2002-12-31,160831.5626997585,851.5225515773473,-718.5878838766494
2003-01-31,161253.01369082104,-682.8587929991791,660.767714290183
2003-02-28,161735.72834787366,-470.1875687477022,113.2801845616504
2003-03-31,162305.17819430766,-707.2611513436813,-171.08574851659534
2003-04-30,162984.2427327817,-509.53747042679703,-514.1028731336328
2003-05-31,163770.8348088574,-46.09445616994682,-1016.2421978658351
2003-06-30,164635.14930627024,-19.559311039500187,-1047.8785886978858
2003-07-31,165560.65866992655,-31.284572155743287,-1013.3703875744786
2003-08-31,166546.36478530624,-15.521843103379428,-677.6416195786948
2003-09-30,167605.49801151955,372.5250494970548,-690.058766017233
2003-10-31,168741.50136175143,500.13837941444484,-291.82835406343924
2003-11-30,169935.704181811,758.1191854970821,-307.4836410600692
2003-12-31,171178.06271222123,851.5225515773473,-283.9138047579745
2004-01-31,172481.20642034974,-682.8587929991791,863.6256209312141
2004-02-29,173851.98640865055,-470.1875687477022,222.91825672637964
2004-03-31,175274.63568688137,-707.2611513436813,52.75805508878955
2004-04-30,176710.79423587283,-509.53747042679703,-169.87526683834488
2004-05-31,178143.97681391027,-46.09445616994682,-799.2956308754913
2004-06-30,179597.98750136982,-19.559311039500187,-784.200625994954
2004-07-31,180352.55753864194,-31.284572155743287,243.66358099217635
2004-08-31,180331.50589370038,-15.521843103379428,2387.0041539640592
2004-09-30,179921.37340113937,372.5250494970548,4287.861639964887
2004-10-31,179071.88769700294,500.13837941444484,6551.79469087831
2004-11-30,178219.0269908175,758.1191854970821,8631.56604263917
2004-12-31,177615.90642373625,851.5225515773473,10952.126490050012
2005-01-31,177106.35743742526,-682.8587929991791,-3325.728507937076
2005-02-28,176577.43359491808,-470.1875687477022,-3443.565296344952
2005-03-31,176125.3317879086,-707.2611513436813,-9700.081500597667
2005-04-30,175774.68144407152,-509.53747042679703,-10719.275919653262
2005-05-31,175530.82848653308,-46.09445616994682,-7169.290807332796
2005-06-30,175368.76494952646,-19.559311039500187,-2046.7281802665802
2005-07-31,176020.02369295797,-31.284572155743287,-2161.228138672649
2005-08-31,177573.43863531834,-15.521843103379428,-811.6752424767689
2005-09-30,179626.641148564,372.5250494970548,-311.1028208652003
2005-10-31,182202.99704731855,500.13837941444484,-101.22619812219176
2005-11-30,184858.9397518392,758.1191854970821,-338.9061606191681
2005-12-31,187334.36919324927,851.5225515773473,-325.30172538511215
2006-01-31,189744.30376490465,-682.8587929991791,1225.5004528613372
2006-02-28,192144.9094356004,-470.1875687477022,1081.7421913444723
2006-03-31,194422.99854534594,-707.2611513436813,1186.3287314882427
2006-04-30,196569.8541911913,-509.53747042679703,1134.015913812248
2006-05-31,198584.10906800593,-46.09445616994682,871.5889391048584
2006-06-30,200473.57602921984,-19.559311039500187,1164.607005971413
2006-07-31,202258.3562920464,-31.284572155743287,1122.722716036461
2006-08-31,203950.18695927548,-15.521843103379428,903.8290764670022
2006-09-30,205564.62018253526,372.5250494970548,332.8041361557828
2006-10-31,207119.12759061894,500.13837941444484,-74.70723212527349
2006-11-30,208608.86581902183,758.1191854970821,-689.3646935477445
2006-12-31,210026.19368835603,851.5225515773473,-1069.3866856131772
2007-01-31,211379.6602989739,-682.8587929991791,477.1306917505008
